frame,throttle,vx,vy,r,up,left,right	
178,5.0000,-66.8309,59.3379,0.6730,1,0,0	
179,5.0000,-65.2075,58.7193,0.7048,1,0,0	
180,5.0000,-63.5497,59.4153,0.7331,1,0,0	
181,5.0000,-61.8636,59.4492,0.7582,1,0,0	
182,5.0000,-60.1541,59.4799,0.7804,1,0,0	
183,5.0000,-58.4260,59.5074,0.7999,1,0,0	
184,5.0000,-56.6832,59.5318,0.8168,1,0,0	
185,5.0000,-54.9293,59.5532,0.8315,1,0,0	
186,5.0000,-53.1675,59.1272,0.8441,1,0,0	
187,5.0000,-51.4004,59.5877,0.8547,1,0,0	
188,5.0000,-49.6306,59.1908,0.8636,1,0,0	
189,5.0000,-47.8604,59.6121,0.8708,1,0,0	
190,5.0000,-46.0916,59.6209,0.8766,1,0,0	
191,5.0000,-44.3261,59.6277,0.8810,1,0,0	
192,5.0000,-42.5654,59.2620,0.8842,1,0,0	
193,5.0000,-40.8226,59.6230,0.8776,1,1,0	
194,5.0000,-39.1093,59.5985,0.8614,1,1,0	
195,5.0000,-37.4378,59.5607,0.8361,1,1,0	
196,5.0000,-35.8213,59.5108,0.8018,1,1,0	
197,5.0000,-34.2735,59.4507,0.7589,1,1,0	
198,5.0000,-32.8094,58.8359,0.7075,1,1,0	
199,5.0000,-31.4449,59.3081,0.6480,1,1,0	
200,5.0000,-30.1754,59.2438,0.5931,1,0,0	
201,5.0000,-28.9973,58.4373,0.5424,1,0,0	
202,5.0000,-27.9057,59.1436,0.4957,1,0,0	
203,5.0000,-26.8958,59.1044,0.4527,1,0,0	
204,5.0000,-25.9627,59.0713,0.4130,1,0,0	
205,5.0000,-25.1014,59.0433,0.3764,1,0,0	
206,5.0000,-24.3073,59.0197,0.3426,1,0,0	
207,5.0000,-23.5758,58.9998,0.3115,1,0,0	
208,5.0000,-22.9024,57.9879,0.2829,1,0,0	
209,5.0000,-22.2830,58.9691,0.2565,1,0,0	
210,5.0000,-21.7137,58.9574,0.2322,1,0,0	
211,5.0000,-21.1908,58.9476,0.2098,1,0,0	
212,5.0000,-20.7107,58.9395,0.1891,1,0,0	
213,5.0000,-20.2701,58.9327,0.1702,1,0,0	
214,5.0000,-19.8661,58.9271,0.1527,1,0,0	
215,5.0000,-19.4959,58.9225,0.1366,1,0,0	
216,5.0000,-19.1566,58.9187,0.1218,1,0,0	
217,5.0000,-18.8460,57.8398,0.1082,1,0,0	
218,5.0000,-18.5617,58.9131,0.0956,1,0,0	
219,5.0000,-18.3017,58.9110,0.0841,1,0,0	
220,5.0000,-18.0639,58.9094,0.0736,1,0,0	
221,5.0000,-17.8466,58.9081,0.0639,1,0,0	
222,5.0000,-17.6481,58.9070,0.0549,1,0,0	
223,5.0000,-17.4668,57.8186,0.0468,1,0,0	
224,5.0000,-17.3014,58.9055,0.0392,1,0,0	
225,5.0000,-17.1505,58.9050,0.0324,1,0,0	
226,5.0000,-17.0130,58.9047,0.0261,1,0,0	
227,5.0000,-16.8875,58.9044,0.0203,1,0,0	
228,5.0000,-16.7733,58.9042,0.0150,1,0,0	
229,5.0000,-16.6692,58.9041,0.0102,1,0,0	
230,5.0000,-16.5745,57.8136,0.0057,1,0,0	
231,5.0000,-16.4882,58.9040,0.0017,1,0,0	
232,5.0000,-16.4097,58.9040,-0.0020,1,0,0	
233,5.0000,-16.3383,58.9040,-0.0053,1,0,0	
234,5.0000,-16.2733,58.9041,-0.0084,1,0,0	
235,5.0000,-16.2141,58.9041,-0.0112,1,0,0	
236,5.0000,-16.1603,58.9042,-0.0137,1,0,0	
237,5.0000,-16.1308,57.8153,-0.0258,1,1,0	
238,5.0000,-16.1443,58.9072,-0.0473,1,1,0	
239,5.0000,-16.2182,58.9110,-0.0778,1,1,0	
240,5.0000,-16.3696,58.9186,-0.1172,1,1,0	
241,5.0000,-16.6145,58.9320,-0.1650,1,1,0	
242,5.0000,-16.9676,58.9534,-0.2211,1,1,0	
243,5.0000,-17.4424,58.9854,-0.2852,1,1,0	
244,5.0000,-18.0505,59.0305,-0.3571,1,1,0	
245,5.0000,-18.8013,59.0915,-0.4366,1,1,0	
246,5.0000,-19.7013,59.1712,-0.5233,1,1,0	
247,5.0000,-20.7539,59.2719,-0.6172,1,1,0	
248,5.0000,-21.9586,58.6715,-0.7179,1,1,0	
249,5.0000,-23.3103,59.5448,-0.8253,1,1,0	
250,5.0000,-24.7990,59.7197,-0.9392,1,1,0	
251,5.0000,-26.4096,59.9206,-1.0594,1,1,0	
252,5.0000,-28.1209,60.1468,-1.1857,1,1,0	
253,5.0000,-29.9060,60.5423,-1.3179,1,1,0	
254,5.0000,-31.7323,60.6657,-1.4558,1,1,0	
255,5.0000,-33.5619,60.9506,-1.5993,1,1,0	
256,5.0000,-35.3593,61.2066,-1.7285,1,0,0	
257,5.0000,-37.0983,61.4323,-1.8447,1,0,0	
258,5.0000,-38.7623,63.0538,-1.9489,1,0,0	
259,5.0000,-40.3416,61.7973,-2.0420,1,0,0	
260,5.0000,-41.8322,61.9410,-2.1249,1,0,0	
261,5.0000,-43.2338,63.9939,-2.1984,1,0,0	
262,5.0000,-44.5493,62.1645,-2.2633,1,0,0	
263,5.0000,-45.7833,62.2497,-2.3203,1,0,0	
264,5.0000,-46.9420,62.3204,-2.3700,1,0,0	
265,5.0000,-48.0323,62.3788,-2.4130,1,0,0	
266,5.0000,-49.0682,64.7865,-2.4450,1,0,1	
267,5.0000,-50.0661,62.4466,-2.4664,1,0,1	
268,5.0000,-51.0418,62.4602,-2.4774,1,0,1	
269,5.0000,-52.0111,62.4614,-2.4784,1,0,1	
270,5.0000,-52.9891,62.4507,-2.4697,1,0,1	
271,5.0000,-53.9903,62.4279,-2.4515,1,0,1	
272,5.0000,-55.0280,64.8086,-2.4242,1,0,1	
273,5.0000,-56.1138,62.3445,-2.3880,1,0,1	
274,5.0000,-57.2579,64.6148,-2.3432,1,0,1	
